,id,age,gender,race,city,state,Year
412,2688,33.0,Male,White,Nevada,MO,2017
413,2690,37.0,Male,Hispanic,Millerton,OK,2017
414,2691,17.0,Male,Hispanic,Palmdale,CA,2017
415,2693,20.0,Male,Hispanic,Hollywood Hills,CA,2017
416,2704,34.0,Male,Hispanic,Phoenix,AZ,2017
417,2699,37.0,Male,White,Florence,OR,2017
418,2701,24.0,Male,White,Deer Park,AL,2017
419,2702,47.0,Male,White,Tulsa,OK,2017
420,2703,20.0,Male,Black,Kent,WA,2017
421,2692,56.0,Male,Black,North Charleston,SC,2017
422,2695,24.0,Male,Black,Oklahoma City,OK,2017
423,2696,47.0,Male,White,Phoenix,AZ,2017
424,2694,36.0,Male,Hispanic,Rowe,NM,2017
425,2718,37.0,Male,Black,Nashville,TN,2017
426,2717,45.0,Male,Black,Indianapolis,IN,2017
427,2720,41.0,Male,Hispanic,Burbank,CA,2017
428,2723,23.0,Male,Black,Marietta,GA,2017
429,2724,37.0,Male,Hispanic,Deltona,FL,2017
430,2725,23.0,Male,White,Loveland,CO,2017
431,2726,33.0,Male,Hispanic,Westminster,CO,2017
432,2727,23.0,Male,Hispanic,Glendale,AZ,2017
433,2730,37.0,Male,Black,Lawndale,IL,2017
434,2733,19.0,Male,Asian,Fort Collins,CO,2017
435,2728,39.0,Male,White,Norfolk,VA,2017
436,2729,53.0,Male,White,Spokane,WA,2017
437,2732,51.0,Male,White,Fishers,IN,2017
438,2736,25.0,Male,White,Hillsboro,OR,2017
439,2738,45.0,Male,White,Bonaire,GA,2017
440,2737,28.0,Male,Hispanic,Albuquerque,NM,2017
441,2739,36.0,Male,Black,Vandalia,OH,2017
442,2740,32.0,Male,Hispanic,Centerville,UT,2017
443,2741,39.0,Male,White,Belleville,IL,2017
444,2750,46.0,Male,White,Richland,WA,2017
445,2926,53.0,Male,Native,Pleasant View,CO,2017
446,2927,42.0,Male,Black,Antioch,CA,2017
447,2742,34.0,Male,Black,New York,NY,2017
448,2743,29.0,Female,White,Des Moines,IA,2017
449,2746,53.0,Male,White,Maeystown,IL,2017
450,2747,45.0,Male,White,Sallisaw,OK,2017
451,2748,24.0,Male,Hispanic,Vista,CA,2017
452,2749,51.0,Male,White,Madison,ME,2017
453,2744,35.0,Male,Hispanic,Plant City,FL,2017
454,2745,27.0,Male,Black,Mamou,LA,2017
455,2751,33.0,Male,Black,Marietta,GA,2017
456,2765,30.0,Male,Black,Columbus,OH,2017
457,2757,22.0,Male,Asian,Lacey,WA,2017
458,2758,23.0,Male,Black,Crescent City,FL,2017
459,2760,50.0,Female,White,Newton Grove,NC,2017
460,2753,28.0,Male,White,Uniontown,OH,2017
461,2754,34.0,Male,White,Bainbridge Island,WA,2017
462,2755,24.0,Male,Hispanic,Chicago,IL,2017
463,2761,54.0,Male,Black,Akron,OH,2017
464,2762,26.0,Male,White,Mt Airy,MD,2017
465,2764,39.0,Male,White,North Branch,MN,2017
466,2766,34.0,Male,White,Milwaukee,WI,2017
467,2767,27.0,Male,White,Las Vegas,NV,2017
468,2768,48.0,Male,White,Poplar Bluff,MO,2017
