#,Country,City,Industry,Company
517,USA,Louisville KY,University,Spalding University
518,USA,San Antonio TX,University,St. Mary’s University
519,USA,Fredonia NY,University,State University of New York at Fredonia
520,USA,Stony Brook NY,University,Stony Brook University
521,USA,Boston MA,University,Suffolk University
522,USA,Buffalo NY,University,SUNY Buffalo State University
523,USA,New Paltz NY,University,SUNY New Palt
524,USA,New York City NY,University,The City University of New York
525,USA,Memphis TN,University,The University of Memphis
526,USA,San Antonio TX,University,Trinity University
527,USA,Santa Cruz CA,University,UC Santa Cruz
528,USA,Greensboro NC,University,UNC Greensboro
529,USA,Buffalo NY,University,University at Buffalo
530,USA,Los Angeles CA,University,"University of California, Los Angeles (UCLA)"
531,USA,Edmond OK,University,University of Central Oklahoma
532,USA,Denver CO,University,University of Colorado
533,USA,Dayton OH,University,University of Dayton
534,USA,Atlanta GA,University,University of Georgia
535,USA,Moscow ID,University,University of Idaho
536,USA,Ann Arbor MI,University,University of Michigan
537,USA,Grand Forks ND,University,University of North Dakota (UND)
538,USA,Greeley CO,University,University of Northern Colorado
539,USA,Rochester NY,University,University of Rochester
540,USA,Salt Lake City UT,University,University of Utah
541,USA,St. George UT,University,Utah Tech University
542,USA,Vincennes IN,University,Vincennes University
543,USA,Winston-Salem NC,University,Wake Forest University (WFU)
544,USA,Pullman WA,University,Washington State University (WSU)
545,USA,St. Louis MO,University,Webster University
546,USA,Pomona CA,University,Western University of Health Sciences
547,USA,Bellingham WA,University,Western Washington University
548,USA,Williamsburg VA,University,William & Mary
549,USA,Worcester MA,University,Worcester State University
550,USA,Cincinnati OH,University,Xavier University
551,USA,Fairbanks,University system,University of Alaska
552,USA,,University system,University of Illinois System
553,USA,Columbia MO,University system,University of Missouri System
554,USA,Atlanta GA,University system,University System of Georgia
555,USA,,University?,
556,USA,Philadelphia PA,University?,Temple University
557,USA,Newark DE,University?,University of Delaware
558,USA,Norman OK,University?,University of Oklahoma
559,USA,,Wholesaler?,
560,South Africa,Cape Town,Pharmacy chain,Clicks
