Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Case Every X ppl,1 Death Every X ppl,1 Test Every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Caribbean Netherlands,1710,0,17,0,1673,0,20,0,64555,642.0,12584,475065,26489,North America,15,1558,2,0.0,0,755
Antigua and Barbuda,1311,0,43,0,1239,0,29,4,13267,435.0,17409,176181,98813,North America,75,2298,6,0.0,0,293
St. Barth,1195,0,1,0,462,0,732,0,120585,101.0,38369,3871746,9910,North America,8,9910,0,0.0,0,73865
Tanzania,1017,0,21,0,183,0,813,7,17,0.3,0,0,61580611,Africa,60551,2932410,0,0.0,0,13
Faeroe Islands,987,0,2,0,963,0,22,0,20116,41.0,377226,7688134,49066,Europe,50,24533,0,0.0,0,448
Cayman Islands,644,0,2,0,635,0,7,0,9675,30.0,117964,1772216,66563,North America,103,33282,1,0.0,0,105
Saint Kitts and Nevis,600,0,3,0,549,0,48,1,11192,56.0,26365,491802,53609,North America,89,17870,2,0.0,0,895
Wallis and Futuna,445,0,7,0,438,0,0,0,40366,635.0,20508,1860305,11024,Australia/Oceania,25,1575,1,0.0,0,0
Brunei,339,1,3,0,289,5,47,0,767,7.0,154574,349680,442044,Asia,1304,147348,3,2.0,0,106
Grenada,164,0,1,0,161,0,2,0,1450,9.0,43173,381751,113092,North America,690,113092,3,0.0,0,18
Montserrat,21,0,1,0,19,0,1,0,4204,200.0,1408,281882,4995,North America,238,4995,4,0.0,0,200
Western Sahara,10,0,1,0,8,0,1,0,16,2.0,0,0,613291,Africa,61329,613291,0,0.0,0,2
Vanuatu,4,0,1,0,3,0,0,0,13,3.0,23000,73029,314943,Australia/Oceania,78736,314943,14,0.0,0,0
